"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-01","4.67","15.3","31.3","37.4","25.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-02","3.04","15.8","36.5","42.6","30.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-03","4.96","6.9","39.5","46.4","32.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-04","4.81","0.0","55.1","64.6","45.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-05","1.48","0.0","58.9","67.3","50.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-06","3.21","0.0","74.0","82.2","65.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-07","3.57","0.0","77.5","84.9","70.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-08","3.96","0.0","79.7","87.1","72.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-09","0.48","0.0","73.3","81.6","65.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-10","16.73","0.0","57.9","63.8","52.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-11","4.47","0.0","49.6","56.8","42.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005-12","4.60","9.7","35.3","40.4","30.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-01","4.99","2.0","40.9","47.6","34.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-02","2.88","26.9","35.7","42.4","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-03","0.80","1.3","43.1","50.6","35.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-04","5.56","0.1","55.7","65.3","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-05","4.63","0.0","63.1","71.5","54.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-06","8.55","0.0","71.0","77.7","64.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-07","6.17","0.0","77.9","85.2","70.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-08","6.08","0.0","75.8","82.8","68.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-09","3.70","0.0","66.6","73.1","60.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-10","7.07","0.0","56.2","63.3","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-11","7.34","0.0","51.9","57.4","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006-12","2.15","0.0","43.6","49.5","37.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-01","3.64","2.6","37.5","43.6","31.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-02","1.99","3.8","28.3","34.5","22.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-03","5.36","6.0","42.2","50.9","33.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-04","13.06","0.0","50.3","57.9","42.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-05","1.88","0.0","65.2","75.3","55.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-06","6.56","0.0","71.4","79.6","63.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-07","6.90","0.0","75.0","82.3","67.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-08","7.18","0.0","74.0","81.4","66.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-09","1.81","0.0","70.3","78.0","62.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-10","4.66","0.0","63.6","70.6","56.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-11","3.48","0.0","45.4","51.6","39.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007-12","5.22","2.9","36.9","41.6","32.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-01","2.86","0.0","36.5","42.4","30.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-02","5.96","9.0","35.8","43.1","28.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-03","4.08","0.0","42.6","50.3","35.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-04","2.77","0.0","54.9","63.5","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-05","4.01","0.0","60.1","68.9","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-06","4.70","0.0","74.0","82.6","65.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-07","2.85","0.0","78.4","86.2","70.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-08","5.58","0.0","73.8","82.6","65.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-09","7.05","0.0","68.8","75.8","61.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-10","3.62","0.0","55.1","62.3","47.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-11","3.54","0.0","45.8","51.2","40.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008-12","6.62","6.0","38.1","44.9","31.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-01","2.98","9.0","27.9","33.4","22.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-02","0.93","4.3","36.7","44.5","28.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-03","1.75","8.3","42.4","49.7","35.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-04","4.69","0.0","54.5","62.9","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-05","5.17","0.0","62.5","70.5","54.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-06","10.05","0.0","67.5","74.5","60.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-07","7.11","0.0","72.6","80.4","64.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009-08","4.23","0.0","75.7","82.4","68.9"
